property_type,zip,neighborhood,latitude,longitude
Retail Store,98105,NORTHEAST,47.66375728,-122.3002168
K-12 School,98122,CENTRAL,47.6016549,-122.31538028
Non-Refrigerated Warehouse,98118,GREATER DUWAMISH,47.51277739,-122.28386411
Non-Refrigerated Warehouse,98118,GREATER DUWAMISH,47.51184247,-122.28179733
Hospital (General Medical & Surgical),98122,EAST,47.608951,-122.322402
Office,98119,MAGNOLIA / QUEEN ANNE,47.61906313,-122.35864609999999
Mixed Use Property,98122,EAST,47.60453796,-122.32032776
Medical Office,98122,EAST,47.60778771,-122.3201541
Office,98115,NORTH,47.69943689,-122.32378729999999
Non-Refrigerated Warehouse,98107,SHARED: BALLARD & LAKE UNION,47.65803253,-122.364501
Medical Office,98122,EAST,47.61142131,-122.3213375
Other - Entertainment/Public Assembly,98109,MAGNOLIA / QUEEN ANNE,47.62149019,-122.3482175
Non-Refrigerated Warehouse,98122,EAST,47.61819351,-122.3173027
Non-Refrigerated Warehouse,98106,DELRIDGE NEIGHBORHOODS,47.53920898,-122.34281770000001
Retail Store,98133,NORTHWEST,47.71410243,-122.3429112
K-12 School,98122,CENTRAL,47.6022912,-122.2917857
College/University,98144,CENTRAL,47.59968538,-122.30370149999999
Non-Refrigerated Warehouse,98106,SOUTHWEST,47.57322201,-122.36008259999998
Medical Office,98122,CENTRAL,47.60700607,-122.30950928
Retail Store,98108,GREATER DUWAMISH,47.54847297,-122.32271029999998
Medical Office,98122,EAST,47.605636600000004,-122.32147979999999
Non-Refrigerated Warehouse,98125,NORTH,47.70847287,-122.30187439999999
K-12 School,98116,SOUTHWEST,47.58007989,-122.3873108
Supermarket/Grocery Store,98122,EAST,47.61378327,-122.32121310000001
Office,98105,NORTHEAST,47.662095799999996,-122.31202081
Mixed Use Property,98103,LAKE UNION,47.64879342,-122.33322785
Worship Facility,98115,NORTHEAST,47.67751761,-122.28984675
K-12 School,98115,NORTHEAST,47.69064642,-122.29834714
Mixed Use Property,98108,GREATER DUWAMISH,47.54412779,-122.30873835
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.54153185,-122.32884313
Distribution Center,98108,GREATER DUWAMISH,47.54125253,-122.32786627
Manufacturing/Industrial Plant,98108,GREATER DUWAMISH,47.54261556,-122.30645766
Office,98122,CENTRAL,47.60196478,-122.31456094
Worship Facility,98103,NORTHWEST,47.68594811,-122.35432084
K-12 School,98116,SOUTHWEST,47.57769088,-122.40684428
Distribution Center,98118,GREATER DUWAMISH,47.51089546,-122.28074341
Non-Refrigerated Warehouse,98118,GREATER DUWAMISH,47.51442062,-122.27934357
Non-Refrigerated Warehouse,98118,GREATER DUWAMISH,47.510306799999995,-122.28119226
Non-Refrigerated Warehouse,98118,GREATER DUWAMISH,47.51276131,-122.28071926
Non-Refrigerated Warehouse,98118,GREATER DUWAMISH,47.51081215,-122.28276297
Other,98115,NORTHEAST,47.68939742,-122.26969106
Worship Facility,98117,BALLARD,47.68156331,-122.37493866
Office,98107,BALLARD,47.66611816,-122.38549485
Office,98107,BALLARD,47.67522457,-122.40842537
Office,98107,BALLARD,47.67447195,-122.40777514
Restaurant,98107,BALLARD,47.67409077,-122.40770067
K-12 School,98122,CENTRAL,47.60818545,-122.30052066
Retail Store,98144,DOWNTOWN,47.59656273,-122.31395492
Other,98115,NORTH,47.68449217,-122.31903789
K-12 School,98103,NORTHWEST,47.68667488,-122.34216282
Social/Meeting Hall,98103,NORTHWEST,47.67779084,-122.3527645
Worship Facility,98116,SOUTHWEST,47.57367495,-122.41166161
Retail Store,98133,NORTHWEST,47.72763881,-122.34540651
Other - Education,98133,NORTHWEST,47.72778979,-122.34627787
Other,98133,NORTHWEST,47.72969445,-122.34543246
Worship Facility,98116,SOUTHWEST,47.56646894,-122.38738808
Retail Store,98105,NORTHEAST,47.66460037,-122.29972076
Retail Store,98105,NORTHEAST,47.66384364,-122.29717129
Retail Store,98105,NORTHEAST,47.66384364,-122.29717129
K-12 School,98109,MAGNOLIA / QUEEN ANNE,47.63189062,-122.35355257
Worship Facility,98103,SHARED: LAKE UNION & NORTHWEST,47.66492005,-122.35223915
Residence Hall/Dormitory,98105,NORTHEAST,47.66278139,-122.30509963
Office,98105,NORTHEAST,47.664750299999994,-122.30155368
Retail Store,98105,NORTHEAST,47.66375728,-122.3002168
Retail Store,98105,NORTHEAST,47.66375728,-122.3002168
Retail Store,98105,NORTHEAST,47.66375728,-122.3002168
Retail Store,98105,NORTHEAST,47.66375728,-122.3002168
Worship Facility,98103,SHARED: LAKE UNION & NORTHWEST,47.67572194,-122.3284741
Worship Facility,98103,SHARED: LAKE UNION & NORTHWEST,47.67496795,-122.33300390000001
Mixed Use Property,98144,SOUTHEAST,47.57256697,-122.2926683
Residence Hall/Dormitory,98105,NORTHEAST,47.66156867,-122.30429140000001
Worship Facility,98105,NORTHEAST,47.66553115,-122.27452520000001
Worship Facility,98118,SOUTHEAST,47.54382945,-122.2666646
Mixed Use Property,98107,BALLARD,47.66848688,-122.3891043
Mixed Use Property,98107,BALLARD,47.66840403,-122.3879978
K-12 School,98115,NORTHEAST,47.67477763,-122.26229369999999
Retail Store,98105,NORTHEAST,47.66032028,-122.31348419
Other - Entertainment/Public Assembly,98105,NORTHEAST,47.66091704,-122.3139571
Worship Facility,98105,NORTHEAST,47.65896482,-122.3123803
Residence Hall/Dormitory,98105,NORTHEAST,47.65710843,-122.3140463
Other - Education,98105,NORTHEAST,47.65027202,-122.31300859999999
Other - Education,98105,NORTHEAST,47.65027202,-122.31300859999999
Worship Facility,98115,NORTHEAST,47.68762613,-122.2988487
K-12 School,98115,NORTHEAST,47.68698452,-122.3001519
Office,98103,LAKE UNION,47.647424799999996,-122.33207390000001
K-12 School,98144,GREATER DUWAMISH,47.57435237,-122.30279499999999
Mixed Use Property,98107,BALLARD,47.65759684,-122.3664114
K-12 School,98116,SOUTHWEST,47.56485289,-122.38521848
K-12 School,98116,SOUTHWEST,47.56502533,-122.38456726
Worship Facility,98116,SOUTHWEST,47.56334562,-122.38494153
Mixed Use Property,98116,SOUTHWEST,47.56221008,-122.38638306
Mixed Use Property,98116,SOUTHWEST,47.56147766,-122.38638306
Other - Recreation,98116,SOUTHWEST,47.56279704,-122.38212068
Supermarket/Grocery Store,98126,SOUTHWEST,47.56234935,-122.38090294
Fitness Center/Health Club/Gym,98126,SOUTHWEST,47.56229286,-122.37856054
Office,98126,SOUTHWEST,47.5619656,-122.37860657
Mixed Use Property,98125,NORTH,47.72145421,-122.2960621
Other,98125,NORTH,47.72032547,-122.29509159999999
Other,98125,NORTH,47.72586701,-122.2871111
Non-Refrigerated Warehouse,98108,GREATER DUWAMISH,47.55218148,-122.3232298
Medical Office,98122,CENTRAL,47.6012949,-122.3045281
Other - Mall,98116,SOUTHWEST,47.56033119,-122.3871845
K-12 School,98144,GREATER DUWAMISH,47.58508977,-122.3153598
Distribution Center,98144,GREATER DUWAMISH,47.58493545,-122.30645590000002
Refrigerated Warehouse,98144,GREATER DUWAMISH,47.58520699,-122.3059527
Non-Refrigerated Warehouse,98144,GREATER DUWAMISH,47.58473587,-122.30489349
Office,98144,GREATER DUWAMISH,47.58501969,-122.30501650000001
Distribution Center,98144,GREATER DUWAMISH,47.58594125,-122.30452749999999
Office,98144,SOUTHEAST,47.58600295,-122.30352759999998
Office,98144,SOUTHEAST,47.58585718,-122.2996162
Other - Recreation,98144,SOUTHEAST,47.58534028,-122.2976397
Other - Services,98144,SOUTHEAST,47.57012605,-122.292111
Supermarket/Grocery Store,98109,MAGNOLIA / QUEEN ANNE,47.63770856,-122.3560834
